t1_prior,equilibrium,11,12,21,22,we1,we2,e1,e2,payoff,uniform
0.59,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.35147727273,-2.72125
0.6,nash,0.0506329114,0.9493670886,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848101
0.6,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.35454545455,-2.7125
0.61,nash,0.0262901655,0.9737098345,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848102
0.61,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.35761363636,-2.70375
0.62,nash,0.0006662225,0.9993337775,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848102
0.62,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-2.33421052632,-2.695
0.63,nash,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.3515,-2.68625
0.63,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-2.31052631579,-2.68625
0.64,nash,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.342,-2.6775
0.64,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-2.28684210526,-2.6775
0.65,nash,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.3325,-2.66875
0.65,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-2.26315789474,-2.66875
0.66,nash,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.323,-2.66
0.66,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-2.23947368421,-2.66
0.67,nash,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.3135,-2.65125
0.67,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-2.21578947368,-2.65125
0.68,nash,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.304,-2.6425
0.68,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-2.19210526316,-2.6425
0.69,nash,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.2945,-2.63375
0.69,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-2.16842105263,-2.63375
0.7,nash,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.285,-2.625
0.7,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-2.14473684211,-2.625
0.71,nash,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.2755,-2.61625
0.71,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-2.12105263158,-2.61625
0.72,nash,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.266,-2.6075
0.72,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-2.09736842105,-2.6075
0.73,nash,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.2565,-2.59875
0.73,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-2.07368421053,-2.59875
0.74,nash,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.247,-2.59
0.74,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-2.05,-2.59
0.75,nash,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.2375,-2.58125
0.75,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-2.02631578947,-2.58125
0.76,nash,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.228,-2.5725
0.76,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-2.00263157895,-2.5725
0.77,nash,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.2185,-2.56375
0.77,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.97894736842,-2.56375
0.78,nash,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.209,-2.555
0.78,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.95526315789,-2.555
0.79,nash,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.1995,-2.54625
0.79,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.93157894737,-2.54625
0.8,nash,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.19,-2.5375
0.8,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.90789473684,-2.5375
0.81,nash,0.0,0.9787234043,0.0,0.0212765957,0.7894736842,0.0,0.2105263158,0.0,-2.16585106384,-2.51022340429
0.81,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.88421052632,-2.52875
0.82,nash,0.0,0.9527763363,0.0,0.0472236637,0.7894736842,0.0,0.2105263158,0.0,-2.13808510639,-2.47837234045
0.82,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.86052631579,-2.52
0.83,nash,0.0,0.9274544988,0.0,0.0725455012,0.7894736842,0.0,0.2105263158,0.0,-2.11031914892,-2.44652127655
0.83,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.83684210526,-2.51125
0.84,nash,0.0,0.9027355623,0.0,0.0972644377,0.7894736842,0.0,0.2105263158,0.0,-2.08255319149,-2.41467021276
0.84,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.81315789474,-2.5025
0.85,nash,0.0,0.8785982478,0.0,0.1214017522,0.7894736842,0.0,0.2105263158,0.0,-2.05478723404,-2.38281914893
0.85,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.78947368421,-2.49375
0.86,nash,0.0,0.8550222662,0.0,0.1449777338,0.7894736842,0.0,0.2105263158,0.0,-2.02702127659,-2.3509680851
0.86,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.76578947368,-2.485
0.87,nash,0.0,0.8319882612,0.0,0.1680117388,0.7894736842,0.0,0.2105263158,0.0,-1.99925531915,-2.31911702129
0.87,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.74210526316,-2.47625
0.88,nash,0.0,0.8094777563,0.0,0.1905222437,0.7894736842,0.0,0.2105263158,0.0,-1.97148936171,-2.28726595746
0.88,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.71842105263,-2.4675
0.89,nash,0.0,0.7874731054,0.0,0.2125268946,0.7894736842,0.0,0.2105263158,0.0,-1.94372340425,-2.25541489359
0.89,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.69473684211,-2.45875
0.9,nash,0.0,0.7659574468,0.0,0.2340425532,0.7894736842,0.0,0.2105263158,0.0,-1.91595744681,-2.22356382978
0.9,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.67105263158,-2.45
0.91,nash,0.0,0.7449146598,0.0,0.2550853402,0.7894736842,0.0,0.2105263158,0.0,-1.88819148936,-2.19171276595
0.91,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.64736842105,-2.44125
0.92,nash,0.0,0.7243293247,0.0,0.2756706753,0.7894736842,0.0,0.2105263158,0.0,-1.86042553192,-2.15986170213
0.92,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.62368421053,-2.4325
0.93,nash,0.0,0.704186685,0.0,0.295813315,0.7894736842,0.0,0.2105263158,0.0,-1.83265957448,-2.12801063833
0.93,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.6,-2.42375
0.94,nash,0.0,0.684472612,0.0,0.315527388,0.7894736842,0.0,0.2105263158,0.0,-1.80489361701,-2.09615957443
0.94,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.57631578947,-2.415
0.95,nash,0.0,0.6651735722,0.0,0.3348264278,0.7894736842,0.0,0.2105263158,0.0,-1.77712765956,-2.06430851061
0.95,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.55263157895,-2.40625
0.96,nash,0.0,0.6462765957,0.0,0.3537234043,0.7894736842,0.0,0.2105263158,0.0,-1.74936170211,-2.03245744676
0.96,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.52894736842,-2.3975
0.97,nash,0.0,0.6277692476,0.0,0.3722307524,0.7894736842,0.0,0.2105263158,0.0,-1.72159574467,-2.00060638293
0.97,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.50526315789,-2.38875
0.98,nash,0.0,0.6096396005,0.0,0.3903603995,0.7894736842,0.0,0.2105263158,0.0,-1.69382978723,-1.96875531913
0.98,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.48157894737,-2.38
0.99,nash,0.0,0.5918762089,0.0,0.4081237911,0.7894736842,0.0,0.2105263158,0.0,-1.66606382979,-1.93690425532
0.99,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.45789473684,-2.37125
1.0,nash,0.0,0.5744680851,0.0,0.4255319149,0.7894736842,0.0,0.2105263158,0.0,-1.63829787234,-1.90505319148
1.0,stackelberg,0.0,1.0,0.0,1.0,0.789473684211,0.0,0.210526315789,0.0,-1.43421052632,-2.3625
