na_prior,t1_prior,t2_prior,equilibrium,11,12,21,22,e1,e2,p,we1,we2,wp,ae1,ae2,ap,payoff,uniform
0.83,0.051,0.119,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0527,0.1173,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0527,0.1173,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0544,0.1156,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0544,0.1156,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0561,0.1139,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0561,0.1139,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0578,0.1122,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0578,0.1122,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0595,0.1105,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0595,0.1105,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0612,0.1088,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0612,0.1088,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0629,0.1071,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0629,0.1071,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0646,0.1054,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0646,0.1054,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0663,0.1037,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0663,0.1037,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.068,0.102,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.068,0.102,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0697,0.1003,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0697,0.1003,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0714,0.0986,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0714,0.0986,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0731,0.0969,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0731,0.0969,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0748,0.0952,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0748,0.0952,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0765,0.0935,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0765,0.0935,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0782,0.0918,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0782,0.0918,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0799,0.0901,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0799,0.0901,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0816,0.0884,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0816,0.0884,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0833,0.0867,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0833,0.0867,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.085,0.085,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.085,0.085,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0867,0.0833,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0867,0.0833,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0884,0.0816,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0884,0.0816,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0901,0.0799,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0901,0.0799,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0918,0.0782,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0918,0.0782,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0935,0.0765,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0935,0.0765,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0952,0.0748,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0952,0.0748,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0969,0.0731,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0969,0.0731,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0986,0.0714,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.0986,0.0714,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.1003,0.0697,nash,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
0.83,0.1003,0.0697,stackelberg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.323,0.896402777778
